TIME,germany,spain,uk
1995-01-01,532282.4,175965.0,327356.5
1995-04-01,536668.6,177181.0,328610.3
1995-07-01,538410.2,178027.0,332094.4
1995-10-01,538152.2,179278.0,333514.5
1996-01-01,533089.0,180436.0,337196.3
1996-04-01,540313.0,181583.0,338215.3
1996-07-01,543796.0,183351.0,339796.1
1996-10-01,546633.9,184084.0,341625.2
1997-01-01,543618.6,186125.0,344413.8
1997-04-01,551100.8,187936.0,348330.3
1997-07-01,553293.9,189780.0,350761.6
1997-10-01,557035.0,192526.0,355374.8
1998-01-01,561808.1,194375.0,357508.4
1998-04-01,559873.0,195968.0,360065.5
1998-07-01,561421.1,198256.0,362450.7
1998-10-01,561098.6,200337.0,366088.7
1999-01-01,566000.7,201965.0,367939.1
1999-04-01,566839.2,204999.0,368837.9
1999-07-01,572902.3,207459.0,374763.4
1999-10-01,579868.5,209895.0,379586.7
2000-01-01,585625.1,213238.0,383834.7
2000-04-01,591494.9,215872.0,386518.8
2000-07-01,590527.4,218193.0,388034.4
2000-10-01,591043.4,220615.0,389384.9
2001-01-01,600815.3,222814.0,393761.0
2001-04-01,601266.8,224578.0,396743.9
2001-07-01,599460.8,226831.0,399289.8
2001-10-01,600492.9,228421.0,400665.0
2002-01-01,598380.4,229729.0,402257.0
2002-04-01,599863.9,231453.0,405514.1
2002-07-01,602766.5,232854.0,409377.9
2002-10-01,601476.5,234602.0,412976.5
2003-01-01,594074.9,236922.0,415893.2
2003-04-01,594268.4,238522.0,419679.4
2003-07-01,597235.5,240160.0,422928.7
2003-10-01,599364.1,242635.0,426016.1
2004-01-01,599283.5,244098.0,428897.9
2004-04-01,601347.5,246008.0,431201.1
2004-07-01,600315.4,248468.0,432150.5
2004-10-01,600702.4,250010.0,434185.2
2005-01-01,599735.0,252533.0,437158.0
2005-04-01,603734.0,255107.0,441865.6
2005-07-01,608571.7,257536.0,446358.5
2005-10-01,610700.2,260214.0,452784.0
2006-01-01,616634.4,263041.0,454437.8
2006-04-01,626503.0,265781.0,455757.9
2006-07-01,632630.7,268413.0,456343.3
2006-10-01,640951.4,270956.0,458957.7
2007-01-01,643789.5,273731.0,463391.1
2007-04-01,648369.1,275952.0,466189.8
2007-07-01,653787.2,278182.0,469751.3
2007-10-01,655915.7,280585.0,473373.6
2008-01-01,661479.1,281859.0,474554.4
2008-04-01,659737.6,282012.0,471913.0
2008-07-01,657286.5,279890.0,463974.2
2008-10-01,644385.8,277058.0,453521.0
2009-01-01,615682.8,272632.0,446403.5
2009-04-01,616134.4,269991.0,445491.2
2009-07-01,619746.5,269155.0,446177.7
2009-10-01,625358.4,268985.0,447754.0
2010-01-01,630244.1,269791.0,449408.9
2010-04-01,643015.5,270299.0,453022.1
2010-07-01,648111.1,270410.0,455234.3
2010-10-01,653206.7,270413.0,455665.8
2011-01-01,665381.4,269326.0,459071.2
2011-04-01,666542.4,268023.0,460636.2
2011-07-01,669251.4,267077.0,464341.6
2011-10-01,669057.9,265678.0,465048.3
2012-01-01,671654.1,263488.0,466075.2
2012-04-01,672041.2,261365.0,465248.3
2012-07-01,673137.7,259843.0,469917.6
2012-10-01,669848.1,257367.0,469658.1
2013-01-01,668042.0,256409.0,472753.4
2013-04-01,674105.2,255762.0,475565.6
2013-07-01,676620.7,255916.0,479964.1
2013-10-01,678813.8,256553.0,483025.7
2014-01-01,683667.5,257496.0,485983.9
2014-04-01,683280.5,258755.0,490526.3
2014-07-01,684570.6,260281.0,493645.2
2014-10-01,688763.3,262050.0,497349.5
2015-01-01,691149.9,264331.0,499176.3
2015-04-01,694181.5,266942.0,502436.8
2015-07-01,696374.6,269039.0,504777.1
