Name,GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,"World Development Indicators (WDI), November 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link,https://knoema.com/WBWDIGDF2015Oct/world-development-indicators-wdi-november-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia - GDP (constant LCU),constant LCU,"243,521,000,000.00","249,246,000,000.00","252,429,000,000.00","268,111,000,000.00","286,815,000,000.00","303,966,000,000.00","311,156,000,000.00","330,749,000,000.00","347,594,000,000.00","372,098,000,000.00","398,764,000,000.00","414,747,000,000.00","430,973,000,000.00","442,171,000,000.00","460,280,000,000.00","466,436,000,000.00","478,516,000,000.00","495,776,000,000.00","500,222,000,000.00","520,498,000,000.00","536,380,000,000.00","554,393,000,000.00","572,802,000,000.00","560,025,000,000.00","585,946,000,000.00","616,706,000,000.00","641,924,000,000.00","658,518,000,000.00","696,690,000,000.00","723,833,000,000.00","749,378,000,000.00","746,186,000,000.00","749,201,000,000.00","779,286,000,000.00","810,806,000,000.00","842,275,000,000.00","875,522,000,000.00","910,048,000,000.00","950,371,000,000.00","997,930,000,000.00","1,036,570,000,000.00","1,056,562,000,000.00","1,097,378,000,000.00","1,131,169,000,000.00","1,178,187,000,000.00","1,216,083,000,000.00","1,252,452,000,000.00","1,299,546,000,000.00","1,347,659,000,000.00","1,370,998,000,000.00","1,397,902,000,000.00","1,430,354,000,000.00","1,483,675,000,000.00","1,520,944,000,000.00","1,558,586,000,000.00"
Brunei Darussalam - GDP (constant LCU),,,,,,,,,,,,,,,,"6,115,622,400.00","6,137,361,200.00","7,374,370,500.00","8,179,408,200.00","8,733,631,400.00","10,704,150,700.00","9,955,213,100.00","7,981,421,300.00","8,297,218,600.00","8,338,826,300.00","8,388,849,000.00","8,263,792,300.00","8,039,391,500.00","8,200,913,300.00","8,290,907,400.00","8,201,848,300.00","8,291,200,900.00","8,552,037,200.00","8,958,992,800.00","8,986,279,500.00","9,268,933,700.00","9,684,062,100.00","9,962,800,200.00","9,816,230,300.00","9,761,405,800.00","10,059,339,200.00","10,345,972,200.00","10,629,869,900.00","11,041,468,800.00","11,362,108,100.00","11,419,409,300.00","11,463,660,300.00","11,967,800,000.00","11,986,300,000.00","11,753,800,000.00","11,546,400,000.00","11,846,487,000.00","12,252,800,000.00","12,369,000,000.00","12,152,300,000.00","12,796,371,900.00"
China - GDP (constant LCU),constant LCU,"566,482,327,000.00","411,832,651,800.00","388,770,023,300.00","428,424,565,600.00","506,826,261,100.00","592,986,725,500.00","656,436,305,200.00","619,019,435,800.00","593,639,638,900.00","693,964,737,900.00","828,593,897,000.00","886,595,469,800.00","920,286,097,700.00","992,988,699,400.00","1,015,827,439,500.00","1,104,204,426,700.00","1,086,537,155,900.00","1,169,113,979,700.00","1,308,027,005,768.22","1,407,437,058,206.61","1,517,311,326,691.14","1,595,792,947,037.23","1,739,675,917,671.74","1,926,723,779,496.59","2,219,721,828,788.67","2,520,568,040,115.36","2,745,548,685,107.50","3,067,323,328,526.48","3,413,950,485,055.06","3,557,833,455,689.56","3,697,792,345,306.76","4,040,495,420,818.04","4,617,335,330,361.83","5,260,884,617,199.79","5,948,906,822,233.88","6,602,920,325,117.99","7,258,241,855,007.87","7,927,951,681,961.20","8,550,572,536,706.87","9,201,969,985,579.44","9,977,630,000,000.00","10,805,611,094,651.30","11,787,939,375,983.20","12,969,087,762,191.90","14,275,806,740,954.40","15,896,452,201,101.20","17,913,429,840,000.00","20,456,234,340,000.00","22,424,814,990,000.00","24,495,421,740,000.00","27,099,703,510,000.00","29,669,976,570,000.00","31,969,488,050,000.00","34,425,962,760,000.00","36,956,615,290,000.00"
Fiji - GDP (constant LCU),constant LCU,"1,170,492,100.00","1,211,665,100.00","1,255,359,000.00","1,335,184,400.00","1,400,305,100.00","1,362,493,100.00","1,362,493,100.00","1,544,410,900.00","1,666,669,900.00","1,709,943,500.00","1,927,152,600.00","2,059,913,900.00","2,214,104,200.00","2,471,225,200.00","2,535,505,500.00","2,548,949,000.00","2,618,692,400.00","2,773,300,300.00","2,824,978,000.00","3,170,326,500.00","3,119,491,700.00","3,316,955,200.00","3,118,651,500.00","2,995,149,100.00","3,246,532,700.00","3,096,754,700.00","3,336,750,300.00","3,116,023,600.00","3,145,805,200.00","3,379,810,100.00","3,575,839,100.00","3,479,291,400.00","3,691,528,200.00","3,770,158,900.00","3,962,437,000.00","4,061,497,900.00","4,256,449,800.00","4,162,807,900.00","4,216,924,500.00","4,588,013,800.00","4,510,017,600.00","4,600,217,900.00","4,747,424,900.00","4,794,899,100.00","5,049,028,800.00","5,084,372,000.00","5,178,559,100.00","5,134,507,500.00","5,187,536,400.00","5,115,635,200.00","5,266,785,500.00","5,409,259,500.00","5,508,270,400.00","5,699,432,500.00","5,916,000,000.00"
"Micronesia, Fed. Sts. - GDP (constant LCU)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"166,700,000.00","168,700,000.00","173,000,000.00","179,100,000.00","185,800,000.00","199,600,000.00","207,600,000.00","224,500,000.00","223,300,000.00","239,118,600.00","231,678,300.00","217,625,300.00","224,057,700.00","227,158,100.00","237,523,800.00","241,673,800.00","243,123,600.00","247,562,700.00","239,563,300.00","244,739,200.00","244,339,300.00","239,306,700.00","233,181,300.00","235,424,400.00","241,382,000.00","246,331,700.00","247,400,000.00","237,504,000.00",
"Hong Kong SAR, China - GDP (constant LCU)",,,,,,,"150,237,000,000.00","152,933,000,000.00","155,385,000,000.00","160,664,000,000.00","178,889,000,000.00","195,359,000,000.00","209,607,000,000.00","231,850,000,000.00","260,321,000,000.00","266,608,000,000.00","267,920,000,000.00","311,227,000,000.00","347,721,000,000.00","376,446,000,000.00","419,951,000,000.00","462,401,000,000.00","505,223,000,000.00","520,126,000,000.00","551,214,000,000.00","606,191,000,000.00","610,780,000,000.00","678,308,000,000.00","769,191,000,000.00","834,662,000,000.00","853,668,000,000.00","886,367,000,000.00","936,907,000,000.00","995,323,000,000.00","1,057,044,000,000.00","1,120,847,000,000.00","1,147,454,000,000.00","1,196,318,000,000.00","1,257,326,000,000.00","1,183,362,000,000.00","1,213,025,000,000.00","1,305,985,000,000.00","1,313,309,000,000.00","1,335,066,000,000.00","1,375,870,000,000.00","1,495,572,000,000.00","1,606,067,000,000.00","1,719,015,000,000.00","1,830,145,000,000.00","1,869,088,000,000.00","1,823,125,000,000.00","1,946,507,000,000.00","2,040,225,000,000.00","2,074,915,000,000.00","2,138,660,000,000.00","2,192,153,000,000.00"
Indonesia - GDP (constant LCU),constant LCU,"460,798,213,098,159.00","488,929,554,032,920.00","498,266,447,255,652.00","487,040,322,015,856.00","503,850,352,142,687.00","508,622,219,142,823.00","523,120,130,610,463.00","529,005,215,970,883.00","592,666,647,695,805.00","636,982,620,215,897.00","688,910,054,721,035.00","737,115,599,155,426.00","795,220,193,922,857.00","872,962,223,282,045.00","945,041,631,827,037.00","1,003,477,609,702,450.00","1,063,567,318,656,430.00","1,155,421,939,544,900.00","1,261,784,970,675,220.00","1,351,278,611,311,100.00","1,469,177,655,668,710.00","1,588,889,057,132,920.00","1,606,431,563,346,010.00","1,742,173,548,031,860.00","1,867,124,882,697,430.00","1,932,054,874,834,090.00","2,047,292,604,338,320.00","2,155,799,176,654,520.00","2,292,814,846,745,970.00","2,501,110,525,830,680.00","2,726,249,821,167,750.00","2,969,643,847,614,270.00","3,184,067,029,251,880.00","3,415,041,652,725,920.00","3,672,538,070,470,850.00","3,980,897,516,197,140.00","4,285,149,005,555,500.00","4,486,545,547,065,870.00","3,897,609,098,897,510.00","3,928,444,247,354,280.00","4,121,726,241,993,890.00","4,271,899,954,667,010.00","4,464,113,041,849,280.00","4,677,514,123,258,550.00","4,912,833,962,560,090.00","5,192,500,538,917,830.00","5,478,137,490,010,090.00","5,825,726,531,358,910.00","6,176,068,457,506,650.00","6,461,950,710,551,550.00","6,864,133,100,000,000.00","7,287,635,299,999,980.00","7,727,083,399,999,980.00","8,158,193,700,000,010.00","8,568,115,600,000,000.00"
Japan - GDP (constant LCU),constant LCU,"72,176,497,590,272.00","80,869,100,355,584.00","88,073,706,668,032.00","95,536,757,604,352.00","106,692,306,010,112.00","112,901,486,542,848.00","124,912,580,689,920.00","138,755,570,663,424.00","156,630,712,844,288.00","176,174,927,970,304.00","174,371,267,800,000.00","182,564,959,800,000.00","197,925,149,000,000.00","213,823,684,500,000.00","211,203,831,500,000.00","217,733,358,300,000.00","226,388,224,700,000.00","236,327,432,800,000.00","248,786,476,800,000.00","262,430,031,300,000.00","269,824,236,800,000.00","281,094,374,100,000.00","290,585,830,100,000.00","299,479,901,100,000.00","312,848,381,400,000.00","332,662,186,000,000.00","342,080,107,400,000.00","356,130,798,300,000.00","381,582,375,700,000.00","402,073,931,200,000.00","424,479,092,100,000.00","438,590,223,700,000.00","442,182,408,600,000.00","442,938,817,800,000.00","446,763,941,100,000.00","455,441,631,100,000.00","467,328,906,500,000.00","474,785,740,100,000.00","465,275,079,800,000.00","464,347,613,000,000.00","474,830,238,500,000.00","476,518,078,200,000.00","477,897,828,900,000.00","485,950,941,300,000.00","497,422,931,500,000.00","503,903,000,000,000.00","512,433,595,300,000.00","523,667,094,000,000.00","518,212,388,900,000.00","489,570,912,000,000.00","512,345,898,400,000.00","510,026,381,300,000.00","518,970,661,800,000.00","527,343,562,700,000.00","526,792,600,000,000.00"
Cambodia - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,521,465,381,000.00","9,296,873,098,900.00","9,895,861,595,700.00","10,431,459,209,700.00","11,017,685,616,300.00","11,569,565,097,100.00","12,947,472,293,300.00","14,082,549,409,000.00","15,214,593,680,000.00","16,232,127,576,800.00","17,612,815,919,800.00","19,434,074,209,600.00","22,009,105,669,600.00","24,379,725,625,000.00","26,869,522,611,000.00","28,667,517,533,600.00","28,692,371,399,600.00","30,403,320,051,300.00","32,552,704,028,200.00","34,933,395,745,100.00","37,503,328,695,200.00","40,140,453,842,900.00"
Kiribati - GDP (constant LCU),,,,,,,,,,,,"114,560,300.00","111,936,800.00","125,457,900.00","151,691,000.00","220,411,200.00","232,190,900.00","170,037,500.00","162,194,300.00","163,912,900.00","144,923,600.00","80,513,600.00","77,719,100.00","82,993,600.00","90,449,300.00","89,343,800.00","85,222,800.00","86,549,300.00","83,898,500.00","99,204,300.00","90,713,700.00","92,648,900.00","88,648,600.00","91,470,300.00","94,649,700.00","99,283,700.00","98,320,400.00","104,334,100.00","110,146,100.00","122,241,800.00","122,424,600.00","134,063,000.00","135,005,800.00","135,785,600.00","141,258,100.00","145,739,500.00","145,485,800.00","138,927,400.00","149,369,800.00","153,483,800.00","152,463,100.00","151,700,300.00","155,856,900.00","160,236,500.00","165,000,000.00","170,000,000.00"
"Korea, Rep. - GDP (constant LCU)",constant LCU,"31,880,646,310,600.00","33,454,384,022,400.00","34,276,813,438,000.00","37,543,983,671,400.00","40,382,774,050,200.00","42,478,696,506,600.00","47,873,490,910,500.00","50,793,792,107,500.00","56,736,569,589,700.00","64,736,467,027,000.00","73,067,100,000,000.00","80,696,200,000,000.00","85,950,200,000,000.00","98,660,100,000,000.00","107,916,300,000,000.00","115,834,600,000,000.00","131,420,900,000,000.00","146,951,900,000,000.00","162,084,400,000,000.00","175,682,800,000,000.00","172,361,100,000,000.00","185,122,800,000,000.00","200,471,900,000,000.00","224,893,400,000,000.00","247,065,800,000,000.00","265,524,000,000,000.00","298,023,600,000,000.00","334,579,200,000,000.00","373,592,500,000,000.00","398,817,700,000,000.00","435,897,100,000,000.00","478,235,300,000,000.00","505,806,700,000,000.00","537,821,200,000,000.00","584,998,300,000,000.00","637,242,300,000,000.00","683,034,000,000,000.00","722,422,800,000,000.00","681,144,300,000,000.00","754,235,100,000,000.00","820,843,700,000,000.00","857,989,500,000,000.00","921,759,000,000,000.00","948,796,100,000,000.00","995,285,700,000,000.00","1,034,337,600,000,000.00","1,087,876,300,000,000.00","1,147,311,400,000,000.00","1,179,771,300,000,000.00","1,188,118,400,000,000.00","1,265,307,900,000,000.00","1,311,892,800,000,000.00","1,341,966,400,000,000.00","1,380,829,746,944,000.00","1,426,537,249,193,490.00"
Lao PDR - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,"6,684,529,043,700.00","7,023,432,256,300.00","7,366,536,281,500.00","7,261,504,768,400.00","7,115,533,923,300.00","8,125,273,486,600.00","8,670,038,841,100.00","9,042,552,577,600.00","9,545,305,639,500.00","10,109,677,233,900.00","10,934,527,672,800.00","11,703,362,123,000.00","12,514,208,937,600.00","13,374,196,797,900.00","13,904,832,512,200.00","14,920,771,867,900.00","15,785,994,949,900.00","16,693,912,697,000.00","17,681,983,500,000.00","18,754,748,891,700.00","19,947,118,714,300.00","21,364,873,814,600.00","23,206,369,163,800.00","24,969,317,300,000.00","26,923,142,099,200.00","28,942,855,618,900.00","31,410,785,571,500.00","33,935,789,527,900.00","36,658,868,895,000.00","39,781,626,272,400.00","42,748,548,000,000.00"
"Macao SAR, China - GDP (constant LCU)",,,,,,,,,,,,,,,,,,,,,,,,"36,495,944,700.00","40,145,539,100.00","43,557,910,000.00","43,862,815,300.00","46,801,624,000.00","53,494,256,200.00","57,666,808,200.00","60,550,148,600.00","65,394,160,500.00","67,813,744,400.00","76,832,972,400.00","80,828,287,000.00","84,303,903,300.00","87,085,932,100.00","86,737,588,400.00","86,477,375,600.00","82,499,416,400.00","80,519,430,400.00","85,109,037,900.00","87,577,200,000.00","95,374,500,000.00","107,378,200,000.00","136,243,600,000.00","147,904,200,000.00","169,235,400,000.00","193,484,600,000.00","200,045,600,000.00","203,471,300,000.00","259,423,800,000.00","314,658,400,000.00","343,499,500,000.00","380,107,600,000.00","378,766,000,000.00"
Marshall Islands - GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,"63,168,232.16","66,220,035.23","76,489,375.79","79,446,527.84","74,475,255.22","92,753,357.51","101,438,615.80","109,339,655.57","107,490,080.27","110,366,818.40","110,463,800.82","118,351,750.72","125,460,270.88","132,834,511.13","143,744,470.80","128,934,579.98","120,623,940.24","117,193,075.52","114,383,783.48","121,121,761.61","127,617,982.02","130,956,344.23","131,179,055.08","131,106,365.54","134,712,100.00","137,302,200.00","142,485,300.00","139,587,400.00","137,275,300.00","145,709,500.00","145,743,900.00","152,624,600.00","157,185,900.00",
Myanmar - GDP (constant LCU),constant LCU,"1,398,647,786,800.00","1,405,243,265,400.00","1,462,673,766,400.00","1,657,930,401,300.00","1,560,211,671,100.00","1,727,039,636,700.00","1,643,247,495,400.00","1,545,880,827,200.00","1,732,303,855,000.00","1,789,326,813,300.00","1,878,423,310,800.00","1,956,001,488,100.00","2,003,646,581,600.00","1,984,248,783,800.00","2,090,254,808,400.00","2,177,057,011,900.00","2,309,430,704,400.00","2,446,894,639,000.00","2,606,378,754,300.00","2,741,943,745,500.00","2,959,613,993,900.00","3,147,719,796,200.00","3,324,114,123,800.00","3,470,079,055,800.00","3,641,248,617,900.00","3,745,060,624,700.00","3,705,462,272,700.00","3,557,035,098,100.00","3,153,224,841,400.00","3,269,745,877,700.00","3,361,852,437,300.00","3,339,979,656,900.00","3,662,653,169,500.00","3,883,855,819,600.00","4,174,288,940,500.00","4,464,320,683,200.00","4,751,944,157,000.00","5,020,504,223,400.00","5,315,017,702,500.00","5,896,753,298,600.00","6,707,316,912,100.00","7,468,197,256,500.00","8,366,286,710,000.00","9,524,515,028,400.00","10,823,840,422,100.00",,,,,,,,"45,313,000,000,000.00","49,049,000,000,000.00","53,218,000,000,000.00"
